	*MNDI	*MNDS	*MNDX	*NEWSCN	*YLDSDS
1	65.4	1.8	14.6	76.47	3.38
2	62.6	1.5	10.8	31.18	0
3	51.1	1.3	7.8	8.82	2.9
4	54.2	1.5	9.3	61.26	3.18
5	59.4	1.5	10	1.43	3.19
6	45	1.5	8.1	13.11	3.17
7	79.3	2.2	20.9	90.42	3.2
8	37.9	1.2	5.8	73.61	3.32
9	76.6	1.8	15.9	71.6	3.22
10	77.3	2	18.4	93.61	3.29
11	24.9	1.1	3.4	2.27	3.28
12	64.9	1.5	11.6	80.42	3.6
13	53.2	1.3	7.7	27.48	3.27
14	55.9	1.3	8.6	77.98	2.95
15	64.9	1.8	14.7	18.32	3.24
16	33.3	1.3	4.9	80.25	3.48
17	37.7	1.2	5.2	1.34	3.08
18	94	2.1	21.5	69.08	3.46
19	70.4	1.9	16	84.37	3.31
20	15.6	1.2	2.4	53.61	3.15
21	32.6	1.4	5.6	2.1	3.33
22	71.6	1.9	16	85.63	3.47
23	8.9	1.1	1.1	3.7	3.48
24	49.3	1.5	9.6	98.66	3.46
25	26	1.7	4.6	65.8	3.33
26	56.1	1.4	9	1.01	3.3
27	56.1	1.5	10.1	82.86	3.49
28	40.3	1.3	6.5	68.49	3.16
29	82.5	1.7	16.8	67.31	3.06
30	68.4	1.5	12.1	62.27	3.3
31	47.2	1.4	7.7	51.18	3.08
32	18.2	1.2	2.9	1.01	3.14
33	30.5	1.2	4.4	67.98	3.55
34	49.9	1.6	9.2	13.45	3.2
35	56.4	1.5	10.4	73.19	0
36	69.5	1.7	14.3	77.06	3.19
37	7.8	1.2	1.6	1.09	3.21
38	68.1	1.7	13.7	65.8	3.34
39	83.4	2.3	22.3	90.25	3.75
40	40.8	1.3	7.1	49.08	3.54
41	65.5	1.6	12.1	59.5	3.34
42	62.3	1.4	10.3	68.07	3.22
43	21.9	1.2	3.3	71.09	3.28
44	8.2	1.3	1.2	58.4	3.51
45	55.3	1.4	8.8	63.95	3.03
46	51.7	1.4	8.3	88.74	3.63
47	10.6	1.2	1.5	2.61	3.34
48	59.6	1.5	11.1	51.01	3.05
49	57.7	1.3	8.5	67.73	3.59
50	30.8	1.3	4.8	85.88	3.29
51	80.7	2	19.3	75.29	3.3
52	58.8	1.6	11	76.3	3.65
53	70.1	1.7	14.5	73.53	3.43
54	74.5	1.8	17.1	66.39	3.58
55	17.4	1.1	2.2	15.46	3.49
56	41.2	1.2	5.8	61.76	3.11
57	8.8	1.3	1.5	2.1	3.2
58	32.8	1.2	4.6	1.26	3.31
59	7.2	1.2	1.3	1.93	3.27
60	74.9	1.8	16.1	86.97	3.24
61	43.5	1.3	7.3	0.76	3.42
62	50.2	1.4	9.1	0	3.49
63	31.8	1.3	5.5	78.74	3.39
64	21.8	1.3	3.6	0.17	3.39
65	18.9	1.2	3.2	2.44	3.44
66	54.6	1.5	9.4	98.24	3.38
67	9.8	1.2	2	1.26	3.5
68	79.6	2.1	19.3	83.28	3.43
69	76.4	1.5	13.3	93.7	3.52
70	30.4	1.2	4.6	101.93	3.08
71	19	1.2	3.1	66.7	3.46
72	59.8	1.3	9.1	86.97	3.33
73	54.6	1.5	8.9	74.2	3.76
74	39.4	1.5	6.5	2.44	3.55
75	46	1.4	8.1	82.27	3.49
76	83.5	2.3	23.3	63.19	3.13
77	35.1	1.2	6.1	59.24	3.37
78	4.4	1.1	1.2	1.43	3.43
79	42.5	1.3	7.6	61.76	3.15
80	88.5	2.1	21.9	41.93	3.43
81	22.1	1.2	4	72.52	3.42
82	61.8	1.5	11.2	55.99	3.41
83	85.8	1.9	19.1	73.78	3.18
84	22.5	1.3	4.4	0.59	3.08
85	90.8	2.3	23.9	70.67	3.05
86	75.8	1.9	17.3	58.91	3.34
87	49.7	1.5	10.3	72.18	3.41
88	67.7	1.5	12.4	77.9	3.51
89	12.5	1.7	3.2	1.01	3.33
90	60.8	1.6	12	62.86	3.28
91	57.3	1.3	8.3	64.62	3.46
92	29	1.3	4.3	71.32	3.41
93	28.9	1.2	4.7	79.33	3.2
94	71.3	1.5	12.1	69.33	3.16
95	36.3	1.5	6.4	24.29	0
96	26.2	1.2	3.7	86.97	0
97	43.2	1.4	7.8	38.32	0
98	21.7	1.3	3.5	70.08	3.17
99	75.5	1.6	13.9	60.34	3.48
100	47.5	1.3	7.8	67.23	0
